NUSP,P1,P2,Sub,M1
12691536,2.5,1.7,3.3,3.0
12691665,1.7,3.3,1.7,2.7
12696462,5.0,2.5,5.0,5.0
12701706,9.2,2.5,,5.2
12702603,1.7,3.3,3.3,3.3
12702691,,,,0.0
12703142,0.8,2.5,10.0,6.3
12703692,,,,0.0
12704081,3.3,4.2,2.5,3.5
12716950,,8.3,,5.0
12717523,2.5,1.7,2.5,2.5
12718159,2.5,7.5,,5.5
12725290,2.5,3.3,9.2,6.5
12725599,5.0,10.0,10.0,10.0
12731078,6.7,5.0,,5.7
12745445,3.3,10.0,,7.3
12756531,9.2,5.0,,6.7
12803342,5.0,3.3,3.3,4.0
12873615,0.8,10.0,,6.3
13553655,5.0,2.5,5.8,5.5
13553770,,,,0.0
13553791,5.8,0.0,2.5,3.8
13553825,4.2,,2.5,3.2
13553832,4.2,6.7,,5.7
13553846,2.5,3.3,4.2,3.7
13662365,7.5,10.0,,9.0
13673086,3.3,3.3,,3.3
13678331,7.5,4.2,,5.5
13679422,9.2,6.7,,7.7
13679436,5.8,5.0,,5.3
13679440,5.8,6.7,,6.3
13679457,10.0,8.3,,9.0
13679461,7.5,7.5,,7.5
13679478,7.5,4.2,,5.5
13679499,9.2,7.5,,8.2
13679502,5.8,5.0,,5.3
13679519,5.8,8.3,,7.3
13679523,4.2,4.2,2.5,3.5
13679530,7.5,5.8,,6.5
13679544,,2.5,9.2,5.5
13679551,7.5,8.3,,8.0
13679565,8.3,5.0,,6.3
13679586,8.3,9.2,,8.8
13679590,9.2,8.3,,8.7
13679606,5.8,5.0,,5.3
13679610,7.5,4.2,,5.5
13679627,7.5,7.5,,7.5
13679648,8.3,5.0,,6.3
13679652,4.2,1.7,4.2,4.2
13679673,3.3,3.3,5.8,5.0
13679680,5.8,7.5,,6.8
13679694,5.0,5.0,,5.0
13679700,10.0,6.7,,8.0
13679714,8.3,6.7,,7.3
13679721,4.2,2.5,5.0,4.7
13679756,7.5,5.8,,6.5
13679760,5.8,4.2,,5.0
13679777,5.8,5.8,6.7,6.3
13679781,7.5,6.7,,7.0
13679798,5.0,0.0,5.0,5.0
13679801,6.7,6.7,,6.7
