NUSP,Turma,P2,P3,M1,Sub,MSub,Rec,M2
367,5,5.0,2.5,3.1,3.8,4.1,,2.1
368,9,3.3,3.8,3.7,3.1,3.7,5.8,4.8
369,9,6.7,5.6,5.9,,5.9,,5.9
370,3,6.7,4.4,5.0,,5.0,,5.0
371,3,5.8,5.0,5.2,,5.2,,5.2
372,10,5.0,5.0,5.0,,5.0,,5.0
373,2,6.7,3.8,4.5,5.0,5.4,,5.4
374,9,5.8,5.0,5.2,,5.2,,5.2
375,9,8.3,7.5,7.7,,7.7,,7.7
376,2,8.3,5.6,6.3,,6.3,,6.3
377,9,6.7,4.4,5.0,,5.0,,5.0
378,9,3.3,1.9,2.3,5.6,5.0,,5.0
379,9,6.7,3.1,4.0,2.5,4.0,6.7,5.4
380,2,7.5,3.1,4.2,7.5,7.5,,7.5
381,9,5.8,2.5,3.3,0.0,3.3,3.3,3.3
382,2,10.0,3.1,4.8,6.3,7.2,,7.2
383,4,5.8,8.8,8.1,,8.1,,8.1
384,3,9.2,6.3,7.0,,7.0,,7.0
385,11,5.8,1.3,2.4,3.1,3.8,3.3,3.6
386,9,2.5,3.1,3.0,1.9,3.0,3.3,3.2
387,6,5.8,1.3,2.4,2.5,3.3,3.3,3.3
388,5,4.2,2.5,2.9,1.9,3.0,4.2,3.6
389,4,5.8,5.0,5.2,,5.2,,5.2
390,4,7.5,5.0,5.6,,5.6,,5.6
391,10,5.0,3.1,3.6,,3.6,1.7,2.7
392,3,6.7,4.4,5.0,,5.0,,5.0
393,2,8.3,6.3,6.8,,6.8,,6.8
394,3,2.5,1.3,1.6,2.5,2.5,,1.3
395,6,8.3,3.8,5.0,,5.0,,5.0
396,4,5.8,5.6,5.7,,5.7,,5.7
397,10,6.7,3.8,4.5,5.6,5.9,,5.9
398,4,10.0,4.4,5.8,,5.8,,5.8
399,9,8.3,4.4,5.4,,5.4,,5.4
400,5,9.2,6.9,7.5,,7.5,,7.5
401,6,7.5,1.3,2.9,0.6,3.0,2.5,2.8
402,1,6.7,5.6,5.9,,5.9,,5.9
403,9,5.8,3.8,4.3,,4.3,,2.2
404,4,6.7,2.5,3.6,3.1,4.0,3.3,3.7
405,5,7.5,4.4,5.2,,5.2,,5.2
406,5,6.7,4.4,5.0,,5.0,,5.0
407,4,7.5,5.0,5.6,,5.6,,5.6
408,9,5.0,2.5,3.1,1.9,3.1,,1.6
409,4,8.3,2.5,4.0,5.0,5.8,,5.8
410,5,9.2,2.5,4.2,3.8,5.2,,5.2
411,10,4.2,3.8,3.9,5.0,4.8,5.0,4.9
412,12,7.5,2.5,3.8,2.5,3.8,3.3,3.6
413,4,6.7,2.5,3.6,5.6,5.9,,5.9
414,4,5.8,3.1,3.8,3.1,3.8,,1.9
415,5,6.7,3.1,4.0,3.1,4.0,5.8,4.9
416,10,7.5,2.5,3.8,5.0,5.6,,5.6
417,4,3.3,5.0,4.6,2.5,4.6,4.2,4.4
418,12,9.2,4.4,5.6,,5.6,,5.6
419,6,6.7,2.5,3.6,5.6,5.9,,5.9
420,9,7.5,6.3,6.6,,6.6,,6.6
421,4,6.7,2.5,3.6,3.8,4.5,1.7,3.1
422,2,5.8,3.8,4.3,5.0,5.2,,5.2
423,5,5.0,3.8,4.1,4.4,4.6,,2.3
424,4,5.8,3.8,4.3,3.1,4.3,2.5,3.4
425,6,7.5,1.3,2.9,3.8,4.7,2.5,3.6
426,10,6.7,4.4,5.0,,5.0,,5.0
427,10,8.3,,2.1,4.4,5.4,,5.4
428,2,8.3,3.8,5.0,,5.0,,5.0
429,6,8.3,3.1,4.4,1.3,4.4,2.5,3.5
430,4,9.2,2.5,4.2,4.4,5.6,,5.6
431,10,5.8,1.3,2.4,2.5,3.3,5.8,4.6
432,10,2.5,5.6,4.8,4.4,5.3,,5.3
433,10,6.7,3.1,4.0,2.5,4.0,5.0,4.5
434,10,6.7,1.3,2.7,3.8,4.5,4.2,4.4
435,10,6.7,4.4,5.0,,5.0,,5.0
436,10,5.8,4.4,4.8,5.0,5.2,,5.2
437,10,3.3,3.8,3.7,3.8,3.8,3.3,3.6
438,1,6.7,4.4,5.0,,5.0,,5.0
439,11,8.3,2.5,4.0,3.8,5.0,,5.0
440,2,9.2,3.8,5.2,,5.2,,5.2
441,1,6.7,3.8,4.5,3.1,4.5,5.8,5.2
442,1,6.7,1.9,3.1,6.3,6.4,,6.4
443,1,8.3,5.6,6.3,,6.3,,6.3
444,1,8.3,3.8,5.0,,5.0,,5.0
445,8,7.5,4.4,5.2,,5.2,,5.2
446,1,7.5,3.8,4.7,8.1,8.0,,8.0
447,12,5.0,6.9,6.4,,6.4,,6.4
448,5,8.3,9.4,9.1,,9.1,,9.1
449,1,6.7,4.4,5.0,,5.0,,5.0
450,3,8.3,5.0,5.8,,5.8,,5.8
451,11,4.2,3.1,3.4,4.4,4.4,3.3,3.9
452,1,3.3,1.9,2.3,,2.3,,1.2
453,12,5.8,5.6,5.7,,5.7,,5.7
454,12,7.5,1.3,2.9,5.0,5.6,,5.6
455,8,3.3,3.8,3.7,3.1,3.7,7.5,5.6
456,1,10.0,4.4,5.8,,5.8,,5.8
457,5,7.5,1.9,3.3,,3.3,,1.7
458,8,6.7,2.5,3.6,1.9,3.6,5.8,4.7
459,4,5.0,5.0,5.0,,5.0,,5.0
460,12,5.0,3.8,4.1,3.8,4.1,6.7,5.4
461,3,7.5,4.4,5.2,,5.2,,5.2
462,7,5.8,1.9,2.9,1.9,3.0,,1.5
463,4,7.5,3.1,4.2,5.0,5.6,,5.6
464,2,9.2,2.5,4.2,3.1,4.6,1.7,3.2
465,11,6.7,2.5,3.6,2.5,3.6,3.3,3.5
466,8,5.0,2.5,3.1,2.5,3.1,4.2,3.7
467,8,9.2,3.1,4.6,4.4,5.6,,5.6
468,7,8.3,3.8,5.0,,5.0,,5.0
469,1,5.8,6.3,6.2,,6.2,,6.2
470,7,8.3,4.4,5.4,,5.4,,5.4
471,8,5.0,3.8,4.1,5.6,5.5,,5.5
472,1,6.7,2.5,3.6,4.4,5.0,,5.0
473,7,4.2,3.8,3.9,1.9,3.9,5.0,4.5
474,1,6.7,5.0,5.4,,5.4,,5.4
475,3,8.3,1.3,3.1,2.5,4.0,5.8,4.9
476,3,7.5,3.1,4.2,3.8,4.7,7.5,6.1
477,1,5.8,3.8,4.3,2.5,4.3,5.8,5.1
478,3,6.7,5.0,5.4,,5.4,,5.4
479,6,6.7,3.1,4.0,7.5,7.3,,7.3
480,2,9.2,5.6,6.5,,6.5,,6.5
481,1,7.5,5.0,5.6,,5.6,,5.6
482,7,7.5,0.6,2.3,3.8,4.7,,2.4
483,4,4.2,1.9,2.5,1.3,2.5,,1.3
484,8,3.3,2.5,2.7,3.1,3.2,3.3,3.3
485,5,7.5,3.1,4.2,2.5,4.2,4.2,4.2
486,7,8.3,4.4,5.4,,5.4,,5.4
487,1,3.3,2.5,2.7,3.8,3.7,6.7,5.2
488,4,8.3,5.0,5.8,,5.8,,5.8
489,1,3.3,4.4,4.1,2.5,4.1,1.7,2.9
490,6,8.3,3.1,4.4,0.6,4.4,4.2,4.3
491,7,6.7,2.5,3.6,1.9,3.6,2.5,3.1
492,12,4.2,5.0,4.8,8.1,7.1,,7.1
493,12,5.8,1.3,2.4,3.1,3.8,5.8,4.8
494,8,6.7,3.1,4.0,3.8,4.5,6.7,5.6
495,11,8.3,3.1,4.4,3.8,5.0,,5.0
496,1,6.7,3.1,4.0,3.1,4.0,8.3,6.2
497,3,8.3,4.4,5.4,,5.4,,5.4
498,2,6.7,2.5,3.6,3.8,4.5,8.3,6.4
499,7,8.3,6.3,6.8,,6.8,,6.8
500,2,2.5,1.9,2.1,2.5,2.5,,1.3
501,11,7.5,4.4,5.2,,5.2,,5.2
502,7,8.3,1.9,3.5,3.8,5.0,,5.0
503,11,7.5,1.3,2.9,3.1,4.2,0.8,2.5
504,3,8.3,5.0,5.8,,5.8,,5.8
505,8,7.5,5.6,6.1,,6.1,,6.1
506,3,5.8,1.9,2.9,4.4,4.8,5.8,5.3
507,4,5.8,2.5,3.3,3.8,4.3,5.8,5.1
508,4,6.7,4.4,5.0,,5.0,,5.0
509,7,5.8,3.8,4.3,3.8,4.3,5.8,5.1
510,2,,,0.0,,0.0,,0.0
511,3,5.8,4.4,4.8,3.1,4.8,4.2,4.5
512,12,5.0,3.1,3.6,3.8,4.1,6.7,5.4
513,12,6.7,5.6,5.9,,5.9,,5.9
514,4,4.2,5.0,4.8,6.3,5.8,,5.8
515,7,5.8,3.8,4.3,3.1,4.3,6.7,5.5
516,5,5.8,3.8,4.3,2.5,4.3,0.8,2.6
517,6,3.3,3.8,3.7,1.9,3.7,,1.9
518,7,8.3,3.1,4.4,2.5,4.4,7.5,6.0
519,4,10.0,3.8,5.4,,5.4,,5.4
520,9,8.3,2.5,4.0,1.9,4.0,1.7,2.9
521,3,9.2,4.4,5.6,,5.6,,5.6
522,10,7.5,3.1,4.2,4.4,5.2,,5.2
523,8,3.3,4.4,4.1,3.8,4.3,5.8,5.1
524,3,8.3,1.3,3.1,3.1,4.4,3.3,3.9
525,3,10.0,6.3,7.2,,7.2,,7.2
